Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
22 Bahnen,Caroline Wahl,,Dakasy,9783832168032,178788910,hardcover,read,,5.0,,No,208,,2023,4.35,Germany,female,German,Fiction
Ende in Sicht,Ronja von Rönne,,dtv Verlagsgesellschaft,9783423282918,60018657,hardcover,read,,2.5,,No,256,2022,,3.36,Germany,female,German,Roman
Obsidian,Jennifer L. Armentrout,,Hodderscape,9781444799279,22911350,digital,to-read,,,,No,270,2014,2011,4.14,United States of America,female,English,Young Adult
Die Tuchvilla,Anne Jacobs,,blanvalet,9783442381371,24940948,paperback,read,2022/11/12,2.0,,No,704,2014,2014,3.82,Germany,female,German,Romance
Mittagsstunde,Dörte Hansen,,Penguin,9783328600039,40655908,hardcover,to-read,,,,No,319,2018,2018,4.19,Germany,female,German,Fiction
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Mary GrandPré (Illustrator),Scholastic Inc.,9780439655484,5,paperback,read,,5.0,,No,435,2004,1999,4.58,United Kingdom,female,English,Fantasy
Tales of Passion Tales of Woe,Sandra Gulland,,Touchstone,9780684856070,828672,paperback,read,,3.0,,No,352,1999,1998,4.26,United States of America,female,English,Historical Fiction
Das Diamantenmädchen,Ewald Arenz,,,,,,read,,4.0,,No,320,,2011,3.85,Germany,male,German,Fiction
Harry Potter and the Goblet of Fire,J.K. Rowling,,Bloomsbury Children's Books,9781526610294,50748383,hardcover,read,,5.0,,No,640,2020,2000,4.57,United Kingdom,female,English,Fantasy
Die unendliche Geschichte,Michael Ende,Roswitha Quadflieg (Illustrator),Thienemanns,9783522128001,96290,hardcover,did-not-finish,,,,No,428,1979,1979,4.18,Germany,male,German,Fantasy
Die Verschwundenen vom Mondscheinpalast,Christelle Dabos,Amelie Thoma (Translator),Insel Verlag,9783458766018,44600896,digital,read,2022/03/10,5.0,,No,600,2019,2015,4.44,France,female,German,Fantasy
The Travel Episodes: Über die Lust am Alleinreisen,Johannes Klaus,,Piper Verlag GmbH,9783492405003,71641475,paperback,to-read,,,,No,0,2019,,3.95,Germany,male,German,N/A
Harry Potter and the Half-Blood Prince,J.K. Rowling,Jim Dale (Narrator),Listening Library,9780307283658,214573,audio,read,,5.0,,No,17,2005,2005,4.58,United Kingdom,female,English,Fantasy
Before the Feast,Saša Stanišić,Anthea Bell (Translator),Pushkin Press,9781782271291,25875337,hardcover,to-read,,,,No,320,2015,2014,3.70,"Bosnia, Germany",male,English,Fiction
