Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre,
Me Before You,Jojo Moyes,,Penguin Books,9780143124542,123201719,paperback,read,,4,,No,369,2023,2012,4.26,United Kingdom,female,English,Romance,
The Rosie Project,Graeme Simsion,,Simon & Schuster,9781476729084,16181775,hardcover,read,,5,,No,292,2013,2013,4.01,"Australia, New Zealand",male,English,Fiction,
Unter Wasser Nacht,Kristina Hauff,,Hanser,9783446270213,57110056,digital,read,2022/08/12,,,No,288,2021,,3.81,Germany,female,German,German Literature,
Unsere glücklichen Tage,Julia Holbe,,Penguin Verlag ,9783328601104,50370530,hardcover,read,2023/07/09,,,No,320,2020,,3.35,"Luxembourg, Germany",female,German,Fiction,
Mindset,Sebastian Hotz,,,9783732420513,128569468,audio,read,2023/04/17,,,No,,,2023,3.44,Germany,male,German,Audiobook,
Miroloi,Karen Köhler,,Hanser,9783446261716,45716400,hardcover,read,2024/07/04,,,No,464,2019,2019,4.18,Germany,female,German,Fiction,
Windstärke 17,Caroline Wahl,,DuMont Buchverlag GmbH & Co. KG,9783832168414,212255645,hardcover,read,2024/08/04,,,No,256,2024,2024,4.49,Germany,female,German,German Literature,
Fritz und Emma,Barbara Leciejewski,,,9783548066493,141375146,paperback,read,2022/11/16,3,,No,400,,2021,4.16,Germany,female,German,German Literature,
"Du darfst nicht alles glauben, was du denkst: Meine Depression",Kurt Krömer,,,9783839819494,60585696,audio,read,2022/12/07,,,No,,,2022,4.18,Germany,male,German,Nonfiction,
Everything I Never Told You,Celeste Ng,,Penguin Press,9781594205712,18693763,hardcover,read,,5,,No,297,2014,2014,3.84,United States of America,female,English,Fiction,
Kleine Monster,Jessica Lind,,Hanser Berlin,9783446281448,211888881,hardcover,read,2024/06/10,,,No,256,2024,,4.22,Austria,female,German,German Literature,
"Sophia, der Tod und ich",Thees Uhlmann,,,,29753335,audio,read,,,,No,,,2015,3.89,Germany,male,German,Fiction,
Achtsam morden,Karsten Dusse,,Heyne Verlag,9783453439689,46001000,paperback,did-not-finish,,2,,No,415,2019,2019,4.06,Germany,male,German,Crime,
Die Schwester des Tänzers,Eva Stachniak,,Insel Verlag,9783458361787,32809067,paperback,read,2023/06/30,,,No,570,2016,2017,3.83,"Poland, Canada",female,German,Historical Fiction,
The Boy in the Striped Pajamas,John Boyne,,David Fickling Books,9780385751537,2111048,paperback,read,,4,,No,218,2007,2006,4.16,"United Kingdom of Great Britain and Ireland, United Kingdom",male,English,Historical Fiction,
Rabenfrauen,Anja Jonuleit,,dtv Verlagsgesellschaft,9783423261043,69040391,paperback,read,,5,,No,401,,2016,4.28,Germany,female,German,Historical Fiction,
Die karierten Mädchen,Alexa Hennig von Lange,,Dumont Verlag,9783832181680,61476087,hardcover,read,2022/08/27,5,,No,368,2022,,4.11,Germany,female,German,History,
Auf den zweiten Blick,Jodi Picoult,Christoph Göhler,Piper Verlag GmbH,9783492263115,6317551,paperback,read,2023/04/16,,,No,448,2009,1995,3.57,United States of America,female,German,Fiction,
Marianengraben,Jasmin Schreiber,,Eichborn Verlag,9783847900429,48652936,hardcover,read,2024/04/02,,,No,252,2020,2020,4.21,Germany,female,German,Fiction,
Sophias Träume,Corina Bomann,,Ullstein,9783864931178,52215657,paperback,read,2023/09/18,,,No,576,2020,2020,4.1,Germany,female,German,Historical Fiction,
Die Diplomatin,Lucy Fricke,,Claassen,9783546100052,60226175,hardcover,read,2023/04/20,,,No,256,2022,2022,3.7,Germany,female,German,German Literature,
Stay away from Gretchen,Susanne Abel,,dtv,9783423438315,59520475,digital,read,2023/02/23,,,No,366,2021,2021,4.5,Germany,female,German,Fiction,
"Der größte Spaß, den wir je hatten",Claire Lombardo,Sylvia Spatz (Translator),dtv,9783423281980,51204986,hardcover,read,2021,4,,No,719,2019,2019,3.93,United States of America,female,German,Fiction,
Das Nachtfräuleinspiel,Anja Jonuleit,,,B077K4MSD1,40608081,digital,read,,5,,No,494,,2018,4.05,Germany,female,German,Fiction,
Amokspiel,Sebastian Fitzek,,Knaur eBook,9783426554807,72389845,digital,read,,4,,No,430,2009,2007,3.96,Germany,male,German,Thriller,
Der Rosie-Effekt,Graeme Simsion,Annette Hahn (Translator),Fischer E-Books,9783104032207,23568678,digital,read,2022/10/10,,,No,448,2014,2014,3.63,"Australia, New Zealand",male,German,Fiction,
Als Großmutter im Regen tanzte,Trude Teige,,S.Fischer,9783949465123,63353063,hardcover,read,2024/08/04,,,No,384,2023,2015,4.16,Norway,female,German,Historical Fiction,
Das Eis-Schloss,"Tarjei Vesaas",Hinrich Schmidt-Henkel,Guggolz,3945370884,,hardcover,read,2023/02/17,2.5,,No,199,2019,1963,3.86,Norway,male,German,Classics,
Das Pfauengemälde,Maria Bidian,,,9783552073845,212163405,hardcover,read,2024/09/01,,,No,321,,2024,3.95,Germany,female,German,N/A,
Liebes Kind,Romy Hausmann,,dtv Verlag,9783423435611,43203920,digital,read,2020,4,,No,384,2019,2019,4.05,German Democratic Republic,female,German,Thriller,
Ein perfektes Paar,Jackie Kabler,,Insel Verlag,9783458681915,59839185,paperback,read,2022/04/01,4,,No,429,2021,2020,3.97,United Kingdom,female,German,Thriller,
Alles inklusive,Doris Dörrie,,,9783257067811,12312838,,read,2023/06/07,,,No,249,,2011,3.26,Germany,female,German,Fiction,
Unwetter,Marijke Schermer,Hanni Ehlers,,9783311700432,46066718,digital,read,2023/11/12,,,No,156,,2016,3.68,"Kingdom of the Netherlands, Netherlands",female,German,Fiction,
Vortreffliche Frauen,Barbara Pym,,,9783832183820,52239682,,read,2023/11/10,,,No,350,,1952,3.91,United Kingdom,female,German,Fiction,
Schwestern in einem anderen Leben,Christiane Wünsche,,Fischer,9783810530936,209174194,paperback,read,2024/09/11,,,No,416,2024,,4.3,Germany,female,German,Fiction,
Der Augenjäger,Sebastian Fitzek,,Droemer,9783426198810,11323484,hardcover,read,,4,,No,432,2011,2011,4.19,Germany,male,German,Thriller,
Die Summe des Ganzen,Steven Uhly,, Secession Verlag Berlin,9783966390484,62083283,hardcover,read,2022/10/29,,,No,156,2022,,3.92,Germany,male,German,N/A,
How to Find Love in a Bookshop,Veronica Henry,,Penguin Books,9780735223509,38821046,paperback,to-read,,,,No,340,2018,2016,3.87,United Kingdom,female,English,Romance,
Ich werde leben,Lale Gül,,Suhrkamp,9783518472354,61176719,paperback,read,2022/05/31,2,,No,349,2022,2021,3.42,"Netherlands, Turkey",female,German,Nonfiction,
Kukolka,Lana Lux,,Aufbau Verlag,9783351036935,35994569,hardcover,read,2022/09/13,4,,No,375,2017,2017,4.24,Ukraine,female,German,Fiction,
